,ScripCode,TradingSymbol,Description,InstrumentType
342,14418,ASTRAL-EQ,ASTRAL LIMITED,0
343,11618,ASTRAMICRO-EQ,ASTRA MICROWAVE LTD,0
344,5610,ASTRAZEN-EQ,ASTRAZENECA PHARMA IND LT,0
345,874,ASTRON-EQ,ASTRON PAPER BORD MIL LTD,0
346,15653,ATALREAL-BE,ATAL REALTECH LIMITED,0
347,15404,ATAM-EQ,ATAM VALVES LIMITED,0
348,1663,ATFL-EQ,AGRO TECH FOODS LIMITED,0
349,6066,ATGL-EQ,ADANI TOTAL GAS LIMITED,0
350,17778,ATL-EQ,ALLCARGO TERMINALS LTD,0
351,13582,ATLANTAA-BE,ATLANTAA LIMITED,0
352,7921,ATLASCYCLE-BE,ATLAS CYCLE (HARYANA) LTD,0
353,22788,ATMASTCO-ST,ATMASTCO LIMITED,0
354,263,ATUL-EQ,ATUL LTD,0
355,30023,ATULAUTO-EQ,ATUL AUTO LIMITED,0
356,21238,AUBANK-EQ,AU SMALL FINANCE BANK LTD,0
357,18763,AURDIS-ST,AURANGABAD DISTILLERY LTD,0
358,12022,AURIONPRO-EQ,AURIONPRO SOLN LTD,0
359,15869,AUROIMPEX-SM,AURO IMPEX & CHEMICALS L,0
360,275,AUROPHARMA-EQ,AUROBINDO PHARMA LTD,0
361,10310,AURUM-EQ,AURUM PROPTECH LIMITED,0
362,23662,AURUMPP1-E1,AURUM RS. 3.12 PPD UP,0
363,25248,AUSL-SM,ADITYA ULTRA STEEL LTD,0
364,9035,AUSOMENT-BE,AUSOM ENTERPRISE LIMITED,0
365,278,AUTOAXLES-EQ,AUTOMOTIVE AXLES LIMITED,0
366,7880,AUTOBEES-EQ,NIPPONAMC - NETFAUTO,0
367,7844,AUTOIETF-EQ,ICICIPRAMC - ICICIAUTO,0
368,14106,AUTOIND-EQ,AUTOLINE INDUSTRIES LTD,0
369,21406,AVADHSUGAR-EQ,AVADH SUG & ENERGY LTD,0
370,15058,AVALON-EQ,AVALON TECHNOLOGIES LTD,0
371,24610,AVANTEL-EQ,AVANTEL LIMITED,0
372,7936,AVANTIFEED-EQ,AVANTI FEEDS LIMITED,0
373,15638,AVG-BE,AVG LOGISTICS LIMITED,0
374,25523,AVIANSH-ST,AVI ANSH TEXTILE LIMITED,0
375,25984,AVL-EQ,ADITYA VISION LIMITED,0
376,13566,AVONMORE-BE,AVONMORE CAP&MGT SERV LTD,0
377,23164,AVPINFRA-ST,AVP INFRACON LIMITED,0
378,8835,AVROIND-BE,AVRO INDIA LIMITED,0
379,18693,AVSL-ST,AVSL INDUSTRIES LIMITED,0
